Precinct	Votes	votes|Ed Hershey	pct|Ed Hershey	votes|Daniel ''Danny'' Solis	pct|Daniel ''Danny'' Solis	votes|Jorge Mujica	pct|Jorge Mujica	votes|Roberto ''Beto'' Montano	pct|Roberto ''Beto'' Montano	votes|Byron Sigcho	pct|Byron Sigcho
25001	233	23	9.87	100	42.92	34	14.59	32	13.73	44	18.88
25002	243	13	5.35	90	37.04	55	22.63	38	15.64	47	19.34
25003	190	23	12.11	101	53.16	20	10.53	15	7.89	31	16.32
25004	183	9	4.92	109	59.56	5	2.73	10	5.46	50	27.32
25005	240	22	9.17	100	41.67	40	16.67	30	12.50	48	20.00
25006	105	6	5.71	81	77.14	1	0.95	3	2.86	14	13.33
25007	263	11	4.18	97	36.88	58	22.05	28	10.65	69	26.24
25008	261	24	9.20	109	41.76	36	13.79	44	16.86	48	18.39
25009	276	20	7.25	124	44.93	30	10.87	36	13.04	66	23.91
25010	166	16	9.64	102	61.45	9	5.42	13	7.83	26	15.66
25011	271	16	5.90	86	31.73	62	22.88	34	12.55	73	26.94
25012	244	19	7.79	92	37.70	39	15.98	33	13.52	61	25.00
25013	274	30	10.95	120	43.80	26	9.49	19	6.93	79	28.83
25014	181	12	6.63	131	72.38	8	4.42	19	10.50	11	6.08
25015	263	13	4.94	162	61.60	37	14.07	15	5.70	36	13.69
25016	159	35	22.01	79	49.69	0	0	15	9.43	30	18.87
25017	289	25	8.65	132	45.67	39	13.49	39	13.49	54	18.69
25018	292	12	4.11	220	75.34	8	2.74	12	4.11	40	13.70
25019	268	17	6.34	106	39.55	50	18.66	27	10.07	68	25.37
25020	186	17	9.14	143	76.88	2	1.08	20	10.75	4	2.15
25021	236	29	12.29	156	66.10	11	4.66	23	9.75	17	7.20
25022	250	30	12.00	103	41.20	43	17.20	25	10.00	49	19.60
25023	295	12	4.07	117	39.66	58	19.66	28	9.49	80	27.12
25024	263	12	4.56	100	38.02	56	21.29	23	8.75	72	27.38
25025	252	21	8.33	189	75.00	10	3.97	17	6.75	15	5.95
25026	263	33	12.55	109	41.44	39	14.83	29	11.03	53	20.15
25027	158	26	16.46	89	56.33	13	8.23	11	6.96	19	12.03
25028	270	15	5.56	105	38.89	54	20.00	36	13.33	60	22.22
25029	246	16	6.50	186	75.61	9	3.66	22	8.94	13	5.28
25030	236	23	9.75	116	49.15	33	13.98	28	11.86	36	15.25
25031	171	20	11.70	110	64.33	4	2.34	12	7.02	25	14.62
25032	236	14	5.93	147	62.29	18	7.63	12	5.08	45	19.07
